"idName","gender","InvalsiRead1","InvalsiRead2","InvalsiRead3","InvalsiRead4","InvalsiRead5","InvalsiRead6","InvalsiRead7","InvalsiRead8","InvalsiRead9","InvalsiRead10","InvalsiRead11","InvalsiRead12"
"clyesrjq","F","1","1","1","1","1","1","1","0","1","1","0","1"
"fpngastz","M","1","1","1","1","0","1","1","0","1","0","1","0"
"hepbgznd","M","1","0","1","1","1","1","1","1","0","0","1","0"
"acmtspru","F","1","1","1","1","1","1","1","1","1","1","1","1"
"smvnicjz","M","1","0","1","1","0","0","0","0","1","0","0","0"
"ayovczsj","F","1","0","1","1","1","1","0","0","1","0","0","1"
"gnydxqbi","M","1","0","1","0","0","0","0","0","0","0","0","0"
"mokfvgie","M","0","0","1","1","0","1","1","0","0","0","0","0"
"rtgfhiyz","M","0","0","1","0","1","1","0","0","0","1","0","1"
"chnpjmru","F","1","1","1","1","1","1","1","0","1","0","1","1"
"valwrxmp","F","1","1","0","0","0","1","0","0","0","1","0","0"
"eduhamqy","M","1","0","1","0","1","0","1","0","0","1","0","0"
"xnaokhuq","M","1","0","1","0","0","1","1","0","1","0","0","0"
"rsmeajhn","F","1","1","1","1","1","1","1","0","1","1","1","1"
"xvpdhocw","F","0","1","1","1","1","1","1","1","1","1","0","0"
"zmdovcpa","M","1","0","1","1","1","1","1","0","1","1","0","0"
"rbhpvxzy","F","1","1","1","1","1","1","1","0","1","0","0","0"
"afdoleyc","F","1","1","1","1","0","0","1","1","1","0","0","0"
"gidmfqkp","M","1","0","1","0","0","1","0","0","0","0","0","0"
"ybjqtohk","M","1","0","1","1","0","0","0","0","0","0","0","0"
"cyrnzhpe","M","0","0","1","0","1","0","0","0","1","0","0","0"
"qnszahvj","F","1","0","0","0","1","0","0","0","0","0","0","0"
"vrnxubec","F","1","0","1","1","1","1","1","1","1","1","0","0"
"knhbadjf","F","1","0","1","1","0","1","1","0","1","0","1","0"
"bfexirhl","M","1","0","1","1","1","1","1","0","1","1","0","0"
"fugebzix","M","1","0","0","1","1","1","0","0","1","0","0","0"
"qlcinyzr","M","1","0","1","0","0","1","0","0","1","0","0","0"
"znoawsie","M","1","0","1","1","0","1","0","0","1","0","0","0"
"sfribecm","F","1","0","1","0","1","1","1","0","0","1","0","0"
"hoqjxanw","M","1","1","1","1","0","1","1","0","0","1","1","0"
"zapxnvju","F","1","0","1","1","1","1","1","0","1","0","0","0"
"uekypida","F","0","0","1","0","0","0","0","1","0","0","0","1"
"enbrozck","M","0","0","0","0","0","1","1","0","0","1","0","0"
"pxibwzmv","M","1","0","1","1","1","1","1","1","1","0","0","1"
"btnlqewk","m","1","0","1","1","1","1","1","0","0","0","0","0"
"lwodxrhu"," ","0","0","1","0","0","0","0","0","0","0","0","0"
"zcsbqovj","F","1","1","1","1","0","1","1","0","1","1","0","1"
"uhxbnqlg","F","0","0","1","1","0","1","0","1","1","0","0","0"
"ywxsfbhr","M","1","1","1","1","1","1","1","0","1","0","0","0"
"amoynpdq","F","1","0","0","1","1","1","1","0","1","0","0","0"
"bdwyklqf","F","1","1","1","1","1","1","1","1","0","1","1","1"
"aqtfymnb","F","1","1","1","1","1","1","1","1","1","1","0","1"
"vglinqhf","F","0","0","1","0","0","1","1","0","1","0","0","0"
"ubcmlyzf","F","1","0","1","1","1","1","1","0","0","0","0","0"
"zegorxid","F","0","1","1","1","1","1","1","0","1","1","1","1"
"romnvxul","M","1","1","1","1","0","1","0","0","1","0","0","0"
"lgzvqmho","F","0","0","0","0","0","0","0","0","0","0","0","0"
"ezjmgsvt","F","1","0","1","1","1","1","0","0","0","0","0","0"
"wuxobnlj","F","1","1","1","1","0","1","1","1","1","1","1","0"
"vokyubfp","F","1","0","1","1","1","1","0","0","0","0","1","1"
"cgwhkixb","F","1","0","1","1","1","1","1","0","0","1","1","0"
"saijzcnm","F","1","0","1","1","1","1","1","1","1","0","1","1"
"drsujmle","M","1","0","1","1","0","1","0","1","1","1","0","0"
"ljawqrou","M","1","1","1","1","1","1","1","1","1","1","1","1"
"vidyqnrb","m","1","0","1","0","0","0","1","0","0","0","0","1"
"uapqrbis","F","1","0","1","1","1","1","1","1","0","0","0","0"
"datbfxpo","F","1","0","0","0","0","1","1","0","1","0","1","0"
"bojsnzla","F","1","0","1","1","0","0","1","0","1","0","0","0"
"xmuhvlra","F","1","1","1","1","1","1","1","1","1","1","1","1"
"srelfkha","M","1","0","0","0","1","1","0","0","0","0","0","0"
"pxnkcjgz","F","1","0","0","0","0","0","1","0","0","0","0","0"
"gsmpnboj","F","0","0","0","1","0","0","1","0","0","0","0","0"
"jywrbnox","F","0","0","1","1","0","0","0","0","1","1","0","0"
"nmwpdxko","F","0","0","0","0","0","1","1","1","0","0","0","0"
"biuzcxnd","M","1","1","1","1","1","1","1","0","0","0","1","1"
"fljzpviy","M","1","0","1","1","1","1","1","1","1","1","1","0"
"ecgntjym","F","1","1","1","1","1","1","1","1","1","1","1","1"
"vrbcyjpd","M","1","1","1","1","1","1","1","0","0","0","0","1"
"ngqiswob","F","1","0","0","1","1","1","1","1","0","0","0","0"
"ufxalnyz","F","0","0","1","0","0","0","0","0","0","0","0","0"
"qrfijbnu","F","1","0","1","1","1","0","1","0","1","0","0","0"
"obguplxw","M","1","0","1","0","1","1","1","0","1","0","1","0"
"ameykgtr","F","0","0","1","0","1","1","0","0","1","0","0","0"
"fnrkimzg","F","1","1","1","1","1","1","1","1","1","1","1","1"
"znfytksb","F","1","0","1","0","0","1","0","0","0","0","0","0"
"tvoadfqg","M","0","0","1","0","1","1","1","1","0","1","0","0"
"drgitbho","F","1","0","1","1","1","1","1","0","1","1","0","1"
"pxyalqgc","F","1","0","1","0","0","0","0","0","0","0","0","0"
"naokhzvg","F","0","0","1","0","1","1","1","0","1","1","0","0"
"crwamhjp","M","0","0","1","1","0","0","1","0","0","0","0","0"
"wdbjalei","F","1","0","0","1","1","1","1","0","1","1","0","0"
"kquzsrxc","M","1","0","1","1","0","1","1","1","0","1","0","0"
"elktaqzn","F","0","0","1","0","0","1","1","0","0","0","0","0"
"dzoimbvp","M","","","","","","","","","","","",""
"jzxvswde","F","0","0","1","0","1","1","0","0","0","0","1","0"
"jloyeihg","M","1","0","1","1","0","1","1","0","1","1","0","0"
"mbjxfdyt","M","1","0","1","0","0","1","0","0","0","1","1","0"
"upodtygj","F","1","0","1","1","1","0","0","0","1","0","1","0"
"gxtewojr","M","1","0","1","1","0","1","1","0","1","1","1","1"
"ugmrvidp","F","1","0","1","0","0","1","0","0","0","0","0","0"
"kwruxzny","F","0","0","1","0","0","0","1","0","0","0","0","0"
"jxahksnw","F","0","0","0","0","1","0","0","0","0","1","0","0"
